,city_name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
298,Tulun,88,RU,1552576115,85,54.56,100.58,34.69,8.41
299,Agdam,64,AZ,1552576117,80,39.99,46.93,46.08,8.63
300,Samarai,92,PG,1552576119,100,-10.62,150.67,75.91,12.21
301,Dekar,0,BW,1552576122,19,-21.53,21.93,93.1,12.44
302,Kattivakkam,20,IN,1552574031,55,13.22,80.32,86.0,8.05
303,Datong,8,CN,1552576126,38,40.09,113.3,33.12,15.68
304,Khash,8,IR,1552576128,31,28.22,61.21,51.12,6.4
305,Vestmannaeyjar,75,IS,1552572000,100,63.44,-20.27,33.8,16.11
306,Dicabisagan,88,PH,1552576133,100,17.08,122.42,71.41,2.37
307,Eyl,20,SO,1552576135,87,7.98,49.82,79.92,11.99
308,Sharjah,0,AE,1552575855,44,25.36,55.39,82.4,10.29
309,Moose Factory,90,CA,1552574220,93,51.26,-80.61,35.6,8.05
310,Eureka,90,US,1552575835,100,40.8,-124.16,39.99,9.17
311,Kulim,75,MY,1552573800,79,5.37,100.55,86.0,3.36
312,Raudeberg,40,NO,1552575903,56,61.99,5.14,43.0,3.36
313,Omboue,32,GA,1552576149,100,-1.57,9.26,79.33,6.4
314,Manicore,75,BR,1552572000,83,-5.81,-61.3,82.4,5.82
315,Virginia Beach,1,US,1552576110,58,36.85,-75.98,64.99,4.7
316,Puerto Madryn,92,AR,1552576155,100,-42.77,-65.04,59.85,18.81
317,Tres Arroyos,68,AR,1552576158,76,-38.38,-60.28,70.06,9.75
318,General Roca,0,AR,1552572000,37,-39.03,-67.58,66.2,6.93
319,Plouzane,90,FR,1552576087,93,48.38,-4.62,53.01,20.8
320,Baringo,0,KE,1552576164,56,0.47,35.97,76.5,6.62
321,Coihueco,0,CL,1552572000,71,-36.63,-71.83,57.2,12.75
322,Kamsack,1,CA,1552572000,79,51.56,-101.9,19.4,11.41
323,Nanakuli,1,US,1552575906,77,21.39,-158.15,73.0,6.93
324,Newport,75,GB,1552576088,81,51.59,-3.0,55.99,25.28
325,Madimba,75,CM,1552572000,59,4.42,9.93,93.2,6.93
326,Sao Joao da Barra,0,BR,1552572000,49,-21.64,-41.05,93.2,6.93
327,Goodlettsville,90,US,1552576150,68,36.32,-86.71,69.01,16.11
328,Hofn,90,IS,1552572000,64,64.25,-15.21,35.6,17.22
329,Paamiut,0,GL,1552576184,100,61.99,-49.67,21.87,30.11
330,Sao Miguel do Araguaia,12,BR,1552576187,100,-13.28,-50.16,84.19,3.71
331,Azul,8,AR,1552576005,100,-36.78,-59.86,68.89,5.5
332,Oschersleben,90,DE,1552576157,81,52.03,11.25,44.01,16.11
333,Kautokeino,88,NO,1552576193,83,69.01,23.04,20.47,6.96
334,Lexington,1,US,1552575957,56,38.05,-84.5,70.0,18.34
335,Anshun,80,CN,1552576198,98,26.25,105.93,47.43,6.62
336,Dingle,0,PH,1552576200,74,11.0,122.67,76.09,10.98
337,Kahului,1,US,1552575674,77,20.89,-156.47,69.01,5.82
338,Guanica,75,PR,1552575950,69,17.97,-66.91,84.0,9.17
339,Okhotsk,8,RU,1552576206,100,59.36,143.24,4.18,1.92
340,Mahajanga,40,MG,1552572000,74,-15.72,46.32,86.0,6.93
341,Namibe,20,AO,1552572000,39,-15.19,12.15,80.6,16.11
342,Naze,75,NG,1552572000,59,5.43,7.07,93.2,12.75
343,Bismarck,1,US,1552575862,86,46.81,-100.78,28.99,24.16
344,Perth,20,GB,1552576207,57,56.4,-3.43,51.01,18.34
345,San Policarpo,88,PH,1552576220,95,12.18,125.51,76.27,10.42
346,Mayor Pablo Lagerenza,76,PY,1552576222,85,-19.93,-60.77,81.13,12.66
347,Sidi Ali,0,DZ,1552576224,62,36.1,0.42,61.65,4.38
348,Arlit,0,NE,1552576227,46,18.74,7.39,89.86,4.61
349,Kovernino,8,RU,1552576229,90,57.13,43.81,20.25,6.17
350,Pathein,0,MM,1552575981,61,16.78,94.73,82.21,4.38
351,Elze,75,DE,1552576225,93,52.12,9.74,45.0,23.04
352,Walvis Bay,0,NA,1552575728,49,-22.95,14.51,73.4,12.75
353,Aripuana,8,BR,1552576237,72,-9.17,-60.63,88.38,3.04
354,Saldanha,0,PT,1552576240,35,41.42,-6.55,61.33,4.61
355,Neiafu,40,TO,1552572000,94,-18.65,-173.98,73.4,6.93
356,Waipawa,64,NZ,1552575256,94,-39.94,176.59,59.0,3.15
357,Balikpapan,40,ID,1552573800,94,-1.24,116.86,78.8,3.36
358,Vanimo,80,PG,1552576323,100,-2.67,141.3,81.9,19.82
359,Sisophon,64,KH,1552576326,76,13.59,102.97,78.79,3.71
360,Nemuro,20,JP,1552576328,97,43.32,145.57,31.0,18.59
361,Manokwari,92,ID,1552576249,99,-0.87,134.08,81.22,13.44
362,Vyshkov,0,RU,1552573800,45,52.48,31.69,42.8,15.66
363,Viedma,92,AR,1552576065,100,-40.81,-62.99,61.42,13.56
364,Severo-Kurilsk,64,RU,1552576336,99,50.68,156.12,28.3,10.76
365,Platanos,20,GR,1552576257,58,35.47,23.6,60.8,20.8
366,Gulbarga,100,IN,1552576341,30,17.33,76.83,87.48,5.39
367,Vagur,88,FO,1552576343,97,61.47,-6.81,45.31,14.79
368,Panama City,90,US,1552576257,83,30.16,-85.65,73.99,14.99
369,Camargo,76,MX,1552576348,23,27.69,-105.17,50.89,2.15
370,Khonsa,36,IN,1552576350,80,26.99,95.51,66.87,3.38
